areaName,avg,score_normalized,final_score
Battery Park City,4224.348,45.19846,54.80154
Central Harlem,2333.5696,10.214591,89.78541
Central Park South,7186.2153,100,0
Chelsea,3937.095,39.8836,60.1164
Chinatown,2775.31,18.387833,81.61217
East Harlem,2248.1582,8.634279,91.36572
East Village,3151.1392,25.341558,74.65844
Financial District,3628.215,34.16859,65.831406
Flatiron,4610.342,52.340256,47.659744
Gramercy,3543.4177,32.59964,67.40036
Greenwich Village,3771.3037,36.81607,63.18393
Hamilton Heights,2283.424,9.28678,90.71322
Inwood,1781.5,0,100
Little Italy,3250.462,27.179264,72.82074
Lower East Side,3087.8037,24.169704,75.83029
Manhattan,3274.0823,27.616299,72.3837
Midtown,4071.19,42.364674,57.635326
Midtown East,3310.2595,28.285662,71.71434
Midtown South,3807.614,37.487896,62.512104
Midtown West,3399.7026,29.940573,70.059425
Morningside Heights,3068.924,23.820387,76.17961
Nolita,3593.81,33.532017,66.46799
Roosevelt Island,3187.095,26.006826,73.99317
Soho,5098.3164,61.368935,38.631065
Stuyvesant Town,3981.4402,40.70409,59.29591
Tribeca,6900.962,94.72214,5.2778625
Upper East Side,2894.576,20.594534,79.405464
Upper West Side,3349.8987,29.019081,70.98092
Washington Heights,2028.7532,4.574768,95.42523
West Harlem,2388.3464,11.228093,88.771904
West Village,3752.19,36.46242,63.53758